Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X\Project Outputs for mod_duo_x\Pick Place for duo_x(PRODUCTION).csv

========================================================================================================================
File Design Information:

Date:       12/03/19
Time:       16:23
Revision:   Not in VersionControl
Variant:    PRODUCTION
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","0.1uF","BottomLayer","CAPC1005N","55.8800","99.2779","315","CAP CER 0.1UF 50V X7R 0402"
"C2","39pF","BottomLayer","CAPC1608N","41.2750","101.9810","135","CAP CER 39PF 50V NP0 0603"
"C3","39pF","BottomLayer","CAPC1608N","35.6870","107.5690","135","CAP CER 39PF 50V NP0 0603"
"C4","0.1uF","BottomLayer","CAPC1608N","22.5285","101.5942","180","CAP CER 0.1UF 25V X7R 0603"
"C5","10uF","BottomLayer","CAPC1608N","19.5695","98.5842","270","CAP CER 10UF 10V X5R 0603"
"C6","0.1uF","BottomLayer","CAPC1608N","25.6540","103.1240","180","CAP CER 0.1UF 25V X7R 0603"
"C7","0.1uF","BottomLayer","CAPC1005N","46.7360","120.6500","315","CAP CER 0.1UF 50V X7R 0402"
"C8","0.1uF","BottomLayer","CAPC1005N","56.1340","128.3696","360","CAP CER 0.1UF 50V X7R 0402"
"C9","0.1uF","BottomLayer","CAPC1005N","56.1407","129.5400","360","CAP CER 0.1UF 50V X7R 0402"
"C10","0.1uF","BottomLayer","CAPC1005N","50.4663","123.4198","315","CAP CER 0.1UF 50V X7R 0402"
"C11","0.1uF","BottomLayer","CAPC1005N","83.8200","119.8880","135","CAP CER 0.1UF 50V X7R 0402"
"C12","0.1uF","BottomLayer","CAPC1005N","84.3280","107.3150","135","CAP CER 0.1UF 50V X7R 0402"
"C13","0.1uF","BottomLayer","CAPC1005N","81.1977","104.1977","135","CAP CER 0.1UF 50V X7R 0402"
"C14","0.1uF","BottomLayer","CAPC1005N","78.5029","101.7270","135","CAP CER 0.1UF 50V X7R 0402"
"C15","10uF","BottomLayer","CAPC1608N","45.7200","119.7610","315","CAP CER 10UF 10V X5R 0603"
"C18","10uF","BottomLayer","CAPC1608N","24.0030","91.0590","180","CAP CER 10UF 10V X5R 0603"
"C19","0.1uF","BottomLayer","CAPC1608N","24.0030","89.5350","180","CAP CER 0.1UF 25V X7R 0603"
"C20","0.33uF","BottomLayer","CAPC2012N","17.0180","90.5510","90","CAP CER 0.33UF 50V X7R 0805"
"C21","2.2uF","TopLayer","CAPC2012N","18.4150","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C22","2.2uF","BottomLayer","CAPC2012N","20.7010","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C23","10uF","BottomLayer","CAPC1608N","99.9490","89.5350","180","CAP CER 10UF 10V X5R 0603"
"C24","0.1uF","BottomLayer","CAPC1608N","99.9490","91.0590","180","CAP CER 0.1UF 25V X7R 0603"
"C25","0.33uF","BottomLayer","CAPC2012N","92.9213","90.5120","90","CAP CER 0.33UF 50V X7R 0805"
"C26","2.2uF","TopLayer","CAPC2012N","94.4880","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C27","2.2uF","BottomLayer","CAPC2012N","96.6470","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C28","0.1uF","TopLayer","CAPC1608N","64.5160","40.1320","180","CAP CER 0.1UF 25V X7R 0603"
"C29","100uF","TopLayer","CAPAE6553X55M","138.9380","69.6695","270","CAP ALUM 100UF 20% 10V SMD"
"C30","22uF","BottomLayer","CAPC2012N","133.0300","69.3380","360","CAP CER 22UF 6.3V X5R 0805"
"C31","10uF","BottomLayer","CAPC2012N","126.9340","69.3380","180","CAP CER 10UF 25V X5R 0805"
"C32","0.1uF","BottomLayer","CAPC1005N","72.9413","95.3337","135","CAP CER 0.1UF 50V X7R 0402"
"C33","0.1uF","BottomLayer","CAPC1005N","53.0860","100.7110","45","CAP CER 0.1UF 50V X7R 0402"
"C34","0.1uF","BottomLayer","CAPC1005N","72.2630","131.6990","180","CAP CER 0.1UF 50V X7R 0402"
"C35","0.1uF","BottomLayer","CAPC1005N","78.3740","128.0160","180","CAP CER 0.1UF 50V X7R 0402"
"C16A","0.01uF","TopLayer","CAPC1608N","103.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17A","0.01uF","TopLayer","CAPC1608N","103.9001","62.3640","180","CAP CER 10000PF 50V X7R 0603"
"C16B","0.01uF","TopLayer","CAPC1608N","27.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17B","0.01uF","TopLayer","CAPC1608N","27.9001","62.3642","180","CAP CER 10000PF 50V X7R 0603"
"D1","1N4148","BottomLayer","SOD-323","16.5215","98.5842","270","DIODE SWITCHING 75V 0.15A SOD323"
"D2","1N4148","BottomLayer","SOD-323","26.6815","100.0702","360","DIODE SWITCHING 75V 0.15A SOD323"
"D3","1N4148","BottomLayer","SOD-323","3.7709","76.4540","90","DIODE SWITCHING 75V 0.15A SOD323"
"E1A","PEC11R","TopLayer","PEC11R","103.7163","75.8347","360","ENCODER ROTARY 15MM SHAFT"
"E1B","PEC11R","TopLayer","PEC11R","27.7163","75.8347","360","ENCODER ROTARY 15MM SHAFT"
"FID1","1mm","TopLayer","FID_1X2MM_R","21.8440","124.8410","90","FIDUCIAL RECTANGLE 1MM-2MM"
"FID2","1mm","TopLayer","FID_1X2MM_C","21.8440","0.0347","90","FIDUCIAL ROUND 1MM-2MM"
"FID3","1mm","TopLayer","FID_1X2MM_C","108.7120","0.0000","90","FIDUCIAL ROUND 1MM-2MM"
"FID4","1mm","BottomLayer","FID_1X2MM_R","121.4663","124.8410","90","FIDUCIAL RECTANGLE 1MM-2MM"
"FID5","1mm","BottomLayer","FID_1X2MM_C","21.8440","0.0350","90","FIDUCIAL ROUND 1MM-2MM"
"FID6","1mm","BottomLayer","FID_1X2MM_C","108.7120","0.0000","90","FIDUCIAL ROUND 1MM-2MM"
"GLCD1","ERC12864FS","TopLayer","ERC12864FS","27.7163","110.5097","180","SERIAL SPI 2.8"GLCD 128x64 UC1701 CONTROLLER"
"GLCD2","ERC12864FS","TopLayer","ERC12864FS","103.7163","110.5097","180","SERIAL SPI 2.8"GLCD 128x64 UC1701 CONTROLLER"
"L1","600R","BottomLayer","INDC1608N","54.9300","98.2980","135","FERRITE BEAD 600 OHM 1.0A 0603"
"L2","2.2uH","BottomLayer","VLF3012ST-2R2M1R4","133.9190","65.8480","90","FIXED IND 2.2UH 1.4A 72 MOHM SMD"
"LED3","LRTBGVTG","TopLayer","LRTB_GVTG","-14.8337","27.2350","180","LED RGB DIFFUSED 6PLCC SMD"
"LED4","LRTBGVTG","TopLayer","LRTB_GVTG","-14.8340","47.4350","180","LED RGB DIFFUSED 6PLCC SMD"
"LED5","LRTBGVTG","TopLayer","LRTB_GVTG","146.2695","47.4353","180","LED RGB DIFFUSED 6PLCC SMD"
"LED6","LRTBGVTG","TopLayer","LRTB_GVTG","146.2663","27.2353","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1A","LRTBGVTG","TopLayer","LRTB_GVTG","50.7163","71.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2A","LRTBGVTG","TopLayer","LRTB_GVTG","50.7163","80.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1B","LRTBGVTG","TopLayer","LRTB_GVTG","65.7163","71.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2B","LRTBGVTG","TopLayer","LRTB_GVTG","65.7163","80.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1C","LRTBGVTG","TopLayer","LRTB_GVTG","80.7163","71.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2C","LRTBGVTG","TopLayer","LRTB_GVTG","80.7163","80.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1D","LRTBGVTG","TopLayer","LRTB_GVTG","8.7163","-4.4653","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2D","LRTBGVTG","TopLayer","LRTB_GVTG","8.7163","4.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1E","LRTBGVTG","TopLayer","LRTB_GVTG","46.7163","-4.4653","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2E","LRTBGVTG","TopLayer","LRTB_GVTG","46.7163","4.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1F","LRTBGVTG","TopLayer","LRTB_GVTG","84.7163","-4.4653","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2F","LRTBGVTG","TopLayer","LRTB_GVTG","84.7163","4.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"LED1G","LRTBGVTG","TopLayer","LRTB_GVTG","122.7163","-4.4653","180","LED RGB DIFFUSED 6PLCC SMD"
"LED2G","LRTBGVTG","TopLayer","LRTB_GVTG","122.7163","4.5347","180","LED RGB DIFFUSED 6PLCC SMD"
"P1","302-S201","BottomLayer","302-S201","1.1663","60.7247","180","CONN HEADER VERT 20POS GOLD"
"P2","Header 5X2H","TopLayer","HDR2x5_1P27","0.1270","72.5170","360","Header, 5-Pin, Dual row, Right Angle"
"P3","B2B-XH-A(LF)(SN)","BottomLayer","B2B-XH-A","126.3650","76.5630","360","CONN HEADER XH TOP 2POS 2.5MM"
"Q1","2N7002","BottomLayer","SOT23-3N","76.0938","94.9960","270","MOSFET N-CH 60V 115MA SOT-23"
"Q5","2N7002","BottomLayer","SOT23-3N","-1.7547","88.3920","90","MOSFET N-CH 60V 115MA SOT-23"
"Q6","2N7002","BottomLayer","SOT23-3N","78.8398","85.5068","360","MOSFET N-CH 60V 115MA SOT-23"
"Q7","SI2312BDS","BottomLayer","SOT23-3N","125.3490","65.8480","180","MOSFET N-CH 20V 3.9A 3-Pin TO-236 T/R"
"Q2A","2N7002","BottomLayer","SOT23-3N","45.9740","71.3740","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3A","2N7002","BottomLayer","SOT23-3N","45.9740","74.9300","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4A","2N7002","BottomLayer","SOT23-3N","45.9740","78.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2B","2N7002","BottomLayer","SOT23-3N","60.9740","71.3740","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3B","2N7002","BottomLayer","SOT23-3N","60.9740","74.9300","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4B","2N7002","BottomLayer","SOT23-3N","60.9740","78.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2C","2N7002","BottomLayer","SOT23-3N","75.9740","71.3740","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3C","2N7002","BottomLayer","SOT23-3N","75.9740","74.9300","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4C","2N7002","BottomLayer","SOT23-3N","75.9740","78.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2D","2N7002","BottomLayer","SOT23-3N","3.9740","-4.6260","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3D","2N7002","BottomLayer","SOT23-3N","3.9740","-1.0700","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4D","2N7002","BottomLayer","SOT23-3N","3.9740","2.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2E","2N7002","BottomLayer","SOT23-3N","41.9740","-4.6260","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3E","2N7002","BottomLayer","SOT23-3N","41.9740","-1.0700","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4E","2N7002","BottomLayer","SOT23-3N","41.9740","2.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2F","2N7002","BottomLayer","SOT23-3N","79.9740","-4.6260","360","MOSFET N-CH 60V 115MA SOT-23"
"Q3F","2N7002","BottomLayer","SOT23-3N","79.9740","-1.0700","360","MOSFET N-CH 60V 115MA SOT-23"
"Q4F","2N7002","BottomLayer","SOT23-3N","79.9740","2.4860","360","MOSFET N-CH 60V 115MA SOT-23"
"Q2G","2N7002","BottomLayer","SOT23-3N","117.9740","-4.6260","360","MOSFET N-CH 60V 115MA SOT-23"
